1	97	42	20	10	14	33	113	422	875	1003	1351	1613	2937	2954	2167	2330	2191	2621	2400	1892	1253	844	438	204
1	107	50	41	17	48	35	102	326	856	956	1397	2079	3570	3857	2999	3032	2794	3061	2323	1463	773	646	305	158
1	416	193	75	82	49	38	150	232	461	907	1548	2294	3253	3690	3809	3675	3494	3366	3265	2272	2178	2175	1750	871
1	309	229	142	143	74	70	62	82	198	761	1517	2398	3225	3541	3614	3501	3239	2839	2159	1365	762	497	1146	546
1	277	169	99	91	27	39	53	83	169	665	1247	2124	2249	2615	2873	3081	3065	2554	1868	1009	538	394	234	137
1	191	160	98	104	80	37	75	128	267	865	1686	2632	3127	3564	3532	3742	3430	3180	2606	1966	1517	945	603	319
1	72	48	10	10	13	32	101	268	934	1033	1541	2158	3667	3923	3338	3266	3062	3371	2746	1776	855	630	314	149
1	55	48	15	21	13	47	122	318	915	1033	1314	1903	3106	3333	2731	2742	2764	3442	2786	2130	1291	846	425	229
1	261	156	110	106	57	31	43	91	325	783	1431	2368	2909	3370	3420	3894	3972	3515	2943	2416	1180	719	735	491
1	309	210	111	116	54	41	33	152	305	827	1625	2477	3081	3584	4025	4105	3893	3578	2990	2274	1122	849	844	509
1	80	72	35	39	27	19	99	274	829	1014	1505	2146	3058	3365	2736	2936	3104	3360	2938	1954	1468	908	440	249
1	541	222	132	99	59	43	71	290	550	1186	1767	2695	3269	3224	3346	3291	3056	2767	2249	2549	2469	2561	2054	1119
1	304	166	110	79	30	17	37	114	369	746	1549	2241	2973	3555	3711	3821	4052	3534	2924	2427	1310	828	906	439
1	80	71	64	17	53	34	175	342	928	1143	1610	2222	3526	3783	3041	3163	3288	3849	3692	2676	2181	1291	817	526
1	65	30	34	7	11	34	110	314	931	990	1259	1764	2946	3453	2631	2491	2503	3044	2725	1742	1187	754	351	137
1	261	190	113	88	48	61	51	52	218	656	1391	2257	2818	3294	3663	3532	3180	2704	1990	1177	536	395	295	175
1	266	239	165	128	90	39	41	77	153	611	1106	2073	2936	3300	3793	3634	3639	3208	2631	1606	875	709	370	273
1	61	29	17	5	23	44	81	305	882	923	1305	1947	3139	3435	2699	2557	2619	2797	2191	1088	519	390	205	114
1	104	43	18	25	30	20	75	241	623	796	1328	1764	3061	3632	2947	3080	2778	3346	2935	1818	935	542	405	200
1	164	73	48	22	30	46	168	432	1110	1003	1452	2441	3795	3840	3300	2977	2813	3129	2574	1791	1133	798	437	281
1	71	53	42	17	26	40	106	278	901	1067	1430	2139	3527	3783	3128	3264	3363	4092	3784	2895	2084	1248	703	440
1	34	34	15	11	8	33	108	271	921	918	1267	1874	3191	3256	2692	2751	2647	2829	2309	1227	669	581	322	133
1	75	22	18	20	19	33	147	388	961	1049	1790	2333	3831	4337	3370	3199	3189	3503	2762	1482	751	642	339	197
1	855	863	446	339	164	77	54	96	122	334	871	1300	1752	2176	2228	2481	2320	1922	1656	1325	809	503	386	253
1	3	0	6	0	0	2	21	32	183	581	1479	2245	2587	2907	3427	3373	3305	2797	2471	1996	220	1109	898	575
1	59	40	27	15	17	51	123	326	897	1085	1460	2153	3468	3932	3027	2995	2956	3349	2982	1804	1027	768	451	242
1	32	42	15	6	16	17	70	289	850	891	1240	1710	2912	3309	2697	2890	3075	3257	2466	1315	726	528	242	128
1	102	78	49	18	27	36	110	332	860	994	1354	1892	3250	3593	2797	2938	2827	3287	2712	1915	1512	981	481	202
1	117	77	62	40	31	23	92	174	504	741	1319	2145	3371	3637	3176	3125	3103	3086	2639	2244	1928	1334	726	499
1	123	51	59	22	19	52	181	332	1007	920	1440	1905	3016	3190	2547	2407	2401	2461	1892	1213	770	349	311	177
1	134	59	37	27	20	33	118	379	974	1064	1580	1896	3224	3856	3090	3339	3138	3506	3081	2057	1669	1129	480	245
1	323	211	139	109	50	42	57	81	209	704	1383	2126	2652	3012	3176	3042	2733	2610	2123	1336	728	349	194	100
1	59	36	34	15	8	33	105	350	858	996	1348	1956	2877	3165	2482	2609	2819	3350	2681	1407	791	468	361	195
1	60	35	23	11	16	33	91	260	938	907	1382	2004	3196	3528	2871	2800	2700	2961	2222	1307	679	530	185	127
1	219	212	115	132	41	24	42	79	156	567	1309	2170	2573	3200	3300	3388	3505	2942	2395	1712	1059	821	417	263
1	275	126	100	68	32	35	52	106	309	584	1234	2043	2401	2737	3034	3040	3134	2651	2352	1469	848	597	593	425
1	99	64	32	15	21	49	154	419	1042	1144	1637	2260	3651	3753	3227	2944	3011	3505	2853	2011	1365	1063	561	286
1	120	50	26	15	11	37	95	376	1174	1082	1735	2394	3837	4121	3481	3522	3614	4216	3668	2616	2335	1705	1003	318
